chinese,pinyin,taiwan,hk,macau,singapore,wade_giles
全,QUAN,CHUAN,CHUEN,CHUN,CHUANG,CHUEN
郗,XI,HSI,,,HEE,
班,BAN,PAN,PAN,PAN,PANG,
仰,YANG,YANG,YEUNG,IEONG,NGIANG,
秋,QIU,CHIU,CHAU,CHAO,CHEW,
仲,ZHONG,CHUNG,CHUNG,CHONG,TONG,CHUNG
伊,YI,I/YI,YEE,I,YEE,YEE
宫,GONG,KUNG,KUNG,KONG,KENG,
甯,NING,NING,NING,NENG,LENG,
仇,QIU,CHIU,SAU,SAO,CHEW,
栾,LUAN,LUAN,LUEN,,LUANG,
暴,BAO,PAO,PO,POU,POW/PAU,
甘,GAN,KAN,KAM,KAM,KAM,KAM
钭,DOU,TOU,,,TOH/TOU,
厉,LI,LI,LAI,LAI,LEE,
戎,RONG,JUNG,YUNG,IONG,JONG,
祖,ZU,TSU,CHO,CHOU,CHOH/CHOU,
武,WU,WU,MO,MOU,BOO,MO
符,FU,FU,FOO,FU,HOO,FU/FOO
刘,LIU,LIU,LAU,LAO,LOW/LAU,LAU
景,JING,CHING,KING,KENG,KENG,KING
詹,ZHAN,CHAN,JIM/TSIM,CHIM,CHIAM,TSIM/JIM
束,SHU,SHU,,CHOK,SOK,
龙,LONG,LUNG,LUNG/LOONG,LONG,LENG,LUNG/LOONG
叶,YE,YEH,IP/YIP,IP,YAP,YIP/IP
幸,XING,HSING,HANG,HANG,HENG,
司,SI,SSU,SZE,SI,SEE,SZE
韶,SHAO,SHAO,SIU,SIO,SEOW,
郜,GAO,KAO,,,KOW/KAU,
黎,LI,LI,LAI,LAI,LOI/LEE/LI,LAI
蓟,JI,CHI,,KAI,KEE,
薄,BO,PO,,POK,POH,
印,YIN,YIN,YAN,IAN,YING,
宿,SU,SU,SUK,SOK,,
白,BAI,PAI,PAK,PAK,PEH,PAK
怀,HUAI,HUAI,WAI,WAI,HUAI,
蒲,PU,PU,PO,POU,PHOO,
邰,TAI,TAI,TAI,,THAI/TAI,
从,CONG,TSUNG,CHUNG,CHONG,CHONG,
鄂,E,O,,NGOK,NGAK,
索,SUO,SO,,SOK,SOK/SOH,
咸,XIAN,HSIEN,HAM,HAM,HAM,
籍,JI,CHI,,CHEK,,
赖,LAI,LAI,LAI,LAI,LAI/NAI,LAI
卓,ZHUO,CHO,CHEUK,CHEOK,TOH,CHEUK
蔺,LIN,LIN,LUN,LON,LIANG,
屠,TU,TU,TO,TOU,TOO/TU,
蒙,MENG,MENG,MUNG,MONG,MONG,
池,CHI,CHIH,CHI/TSZ,CHI,TEE,CHI
乔,QIAO,CHIAO,KIU,KIO,KEOW,KIU
阴,YIN,YIN,YAM,IAM,YIM,
鬱,YU,YU,WAT,VAT,HIOK,
胥,XU,HSU,SUI,SOI,SOO,
能,NAI,NAI,NANG,NANG,LENG,
苍,CANG,TSANG,CHONG,CHONG,CHANG,
双,SHUANG,SHUANG,SHEUNG,SEONG,SANG,
闻,WEN,WEN,MAN,MAN,BOON,
莘,SHEN,SHEN,,,SING,
党,DANG,TANG,TONG,TONG,TANG,
翟,ZHAI,CHAI,CHAK,CHAK,TEK,CHAK
谭,TAN,TAN,TAM,TAM,THAM,TAM
贡,GONG,KUNG,KUNG,KONG,KONG,
劳,LAO,LAO,LO,LOU,LOW,LO
逄,PANG,PANG,FUNG,FONG,PHANG,
姬,JI,CHI,KEI,KEI,KEE,
申,SHEN,SHEN,SAN/SUN,SON,SING,SUN
扶,FU,FU,FOO,FU,HOO,
堵,DU,TU,TO,TOU,,
冉,RAN,JAN,,,ZIAM/JIAM,
宰,ZAI,TSAI,CHOI,CHOI,CHAI,
郦,LI,LI,,,LEE,
雍,YONG,YUNG,YUNG,IONG,YONG,
郤,XI,HSI,,LIO,KHIAH/KIAH,
璩,QU,CHU,,,,
桑,SANG,SANG,SONG,SONG,SNG/SEUNG,
桂,GUI,KUI,KWAI,KUAI,KWEE/KUI,KAI
濮,PU,PU,,,,
牛,NIU,NIU,NGAU,NGAO,GOO,NGAU
寿,SHOU,SHOU,SAU,SAO,SEW,
通,TONG,TUNG,TUNG,TONG,TONG/THONG,
边,BIAN,PIEN,PIN,PIN,PIANG,
扈,HU,HU,WOO,VU,HOO,
燕,YAN,YEN,YIN,IN,YIN,YIN
冀,JI,CHI,KEI,KEI,KEE,
郏,JIA,CHIA,,,,
浦,PU,PU,PO,POU,POH/POU,
尚,SHANG,SHANG,SHEUNG,SEONG,SIANG,SHEUNG
农,NONG,NUNG,NUNG,NONG,LONG,
温,WEN,WEN,WAN,VAN,WOON/OON,WAN
别,BIE,PIEH,PIT,PIT,PIAK,
庄,ZHUANG,CHUANG,CHONG,CHONG,CHNG,CHONG
晏,YAN,YEN,,NGAN,ANG,NGAN
柴,CHAI,CHAI,CHAI,CHAI,CHA,
瞿,QU,CHU,KUI,KOI,KEU,
阎,YAN,YEN,YIM,IM,GIAM/NGIAM,
充,CHONG,CHUNG,CHUNG,CHONG,CHONG,
慕,MU,MU,MO,MOU,MOR,
连,LIAN,LIEN,LIN,LIN,LIAN/LIANG,LIN
茹,RU,JU,YU,U,JOO,
习,XI,HSI,CHAP,CHAP,SIP/SIK,
宦,HUAN,HUAN,WAN,VAN,HUANG,
艾,AI,AI,NGAI,NGAI,HIAN/NGAI,NGAI
鱼,YU,YU,YU,U,,
容,RONG,JUNG,YUNG,IONG,YONG,
向,XIANG,HSIANG,HEUNG,HEONG,HIANG,HEUNG
古,GU,KU,KOO,KU,KOH,KU/KHOO/KOO/KUO
易,YI,I/YI,YIK,IEK,EK,YICK/YIK
慎,SHEN,SHEN,,SAN,,
戈,GE,KO,,KO,KHO/KOR,
廖,LIAO,LIAO,LIU,LIO/LIU,LEOW,LIAO/LIU/LIEW
庾,YU,YU,YU,U,JOO/JU,
终,ZHONG,CHUNG,CHUNG,CHONG,CHONG,
暨,JI,CHI,,KEI,KEE,
居,JU,CHU,KUI,KOI,KEU/KER,
衡,HENG,HENG,,HANG,HUANG,
步,BU,PU,PO,POU,POH,
都,DU,TU,TO,TOU,TOH/TOU,
耿,GENG,KENG,,KANG,KUANG,
满,MAN,MAN,MUN,MUN,MUAN,MOON
弘,HONG,HUNG,WUNG,VANG,HONG,
匡,KUANG,KUANG,HONG,HONG,KUANG,HONG
国,GUO,KUO,KWOK,KUOK,KOK,
文,WEN,WEN,MAN,MAN,BOON/BUNG,MAN
寇,KOU,KOU,KAU,KAO,KOH/KOU,
广,GUANG,KUANG,KWONG,KUONG,KUANG,
禄,LU,LU,LUK,LOK,LOK,
阙,QUE,CHUEH,KUIT,KUET,KUEK/KUEH,
东,DONG,TUNG,TUNG,DONG,TONG/TANG,
欧,OU,OU,AU,AO,OW/AU/AO,AU
殳,SHU,SHU,,,,
沃,WO,WO,,IOK,,
利,LI,LI,LEE/LI,LEI/LEE,LEE,
蔚,WEI,WEI,WAI,WAI,WAY/WE,
越,YUE,YUEH,,UT,WAK,
夔,KUI,KUEI,,,KWEE/KUI,
隆,LONG,LUNG,LUNG,LONG,LONG,
师,SHI,SHIH,SZE,SI,SZE/SER,SI
巩,GONG,KUNG,KUNG,KONH,KIONG,
厍,SHE,SHE,,,,
聂,NIE,NIEH,NIP/LIP,,NIAP,LIP
晁,ZHAO,CHAO,,,,
勾,GOU,KOU,,NGAO,,
敖,AO,AO,NGO,,,O/NGO
融,RONG,JUNG,YUNG,IONG,YONG,
冷,LENG,LENG,,LANG,,
訾,ZI,TZU,,,,
辛,XIN,HSIN,SAN/SUN,SON,SING,SUN
阚,KAN,KAN,,,,
那,NA,NA,NA,NA,,
简,JIAN,CHIEN,KAN,KAN,KAN/KANG,KAN
饶,RAO,JAO,YIU,IO,JEOW/JIAU,YIU
空,KONG,KUNG,HUNG,HONG,,
曾,ZENG,TSENG,TSANG,CHANG,CHAN/TJAN,TSANG
毋,WU,WU,MO,MOU,,
沙,SHA,SHA,SHA,SA,SHA/SUA,
乜,MIE,NIEH,,NE,,
养,YANG,YANG,YEUNG,IEONG,,
鞠,JU,CHU,,KOK,,
须,XU,HSU,,SEOI/SOI,SOO/SU,
丰,FENG,FENG,FUNG,FONG,HONG,
巢,CHAO,CHAO,,CHAO,CHOW/CHAU/CHAO,
关,GUAN,KUAN,KWAN,KUAN,KWAN/KUANG,KWAN
蒯,KUAI,KUAI,,,,
相,XIANG,HSIANG,SHEUNG,SEONG,,
查,CHA,CHA,CHA,CHA,CHA,
后,HOU,HOU,HAU,HAO,,
荆,JING,CHING,KING,KENG,KENG,
红,HONG,HUNG,HUNG,HONG,ANG,
游,YOU,YU,YAU,IAO,YEW/YU,YAU
竺,ZHU,CHU,,,,
权,QUAN,CHUAN,KUEN,KUN,KUAN/KUANG,KUEN
逯,LU,LU,,,,
盖,GAI,KO,KOI,KOI,,
益,YI,I / YI,YIK,IEK,,
桓,HUAN,HUAN,WUN,VUN,,
公,GONG,KUNG,KUNG,KONG,KONG,
丘,QIU,CHIU,YAU,IAO,KHEW/KHOO,
万俟,MOQI,MO-CHI,,,MOK KEE,
司马,SIMA,SSU-MA,SZEMA,SI MA,SEE BEH,
上官,SHANGGUAN,SHANG-KUAN,SHEUNGKWUN,SEONG KUN,,
欧阳,OUYANG,OU-YANG,AUYEUNG,AO IEONG,,
夏侯,XIAHOU,HSIA-HOU,HAHAU,HA HAO,,
诸葛,ZHUGE,CHU-KO,CHUKOK,,CHUKAT,
闻人,WENREN,WEN-JEN,MANYAN,MAN IAN,,
东方,DONGFANG,TUNG-FANG,TUNGFONG,TONG FONG,,
赫连,HELIAN,HO-LIEN,,,,
皇甫,HUANGFU,HUANG-FU,,,,
尉迟,YUCHI,YU-CHIH,WAICHI,VAI CHI,UTTI,
公羊,GONGYANG,KUNG-YANG,KUNGYEUNG,KONG IEONG,,
澹台,TANTAI,TAN-TAI,,,,
公冶,GONGYE,KUNG-YEH,,,,
宗政,ZONGZHENG,TSUNG-CHENG,,CHONG CHENG,,
濮阳,PUYANG,PU-YANG,,,,
淳于,CHUNYU,CHUN-YU,,,,
单于,CHANYU,CHAN-YU,,SIN U,SIANG WOO,
太叔,TAISHU,TAI-SHU,,TAI SOK,,
申屠,SHENTU,SHEN-TU,,SAN TOU,,
公孙,GONGSUN,KUNG-SUN,KUNGSUEN,KONG SUN,,
仲孙,ZHONGSUN,CHUNG-SUN,CHUNGSUEN,CHONG SUN,,
轩辕,XUANYUAN,HSUAN-YUAN,HINYUEN,HIN UN,,
令狐,LINGHU,LING-HU,LINGWOO,LENG VU,,
锺离,ZHONGLI,CHUNG-LI,,CHONG LEI,,
宇文,YUWEN,YU-WEN,YUMAN,U MAN,,
长孙,ZHANGSUN,CHANG-SUN,CHEUNGSUEN,CHEONG SUN,,
慕容,MURONG,MU-JUNG,MOYUNG,MOU IONG,,
鲜于,XIANYU,HSIEN-YU,,,,
闾丘,LUQIU,LU-CHIU,,,,
司徒,SITU,SSU-TU,SZETO,SI TOU,,
司空,SIKONG,SSU-KUNG,SZEHUNG,SI HONG,,
亓官,QIGUAN,,,,,
司寇,SIKOU,,SZEKAU,SI KAO,,
仉,ZHANG,,,,,
督,DU,TU,TUK,,,
子车,ZICHE,,,CHI CHE,,
颛孙,ZHUANSUN,,,,,
端木,DUANMU,TUAN-MU,,TUN MOK,,
巫马,WUMA,WU-MA,MOMA,MOU MA,,
公西,GONGXI,KUNG-HSI,KUNGSAI,KONG SAI,,
漆雕,QIDIAO,CHI-TIAO,,CHAT TIU,,
乐正,YUEZHENG,YUEH-CHENG,,NGOK CHENG,,
壤驷,XIANGSI,,,,,
公良,GONGLIANG,KUNG-LIANG,KUNGLEUNG,KONG LEONG,,
拓拔,TUOBA,TO-PA,,TOK PAT,,
夹谷,JIAGU,CHIA-KU,,KAP KOK,,
宰父,ZAIFU,,,CHOI FU,,
穀梁,GULIANG,KU-LIANG,,KOK LEONG,,
晋,JIN,CHIN,CHUN,CHON,,
楚,CHU,CHU,CHOR,CHO,,CHOR
闫,YAN,YEN,YIM,IM,,
法,FA,FA,FA,FAT,,
汝,RU,JU,YU,U,,
鄢,YAN,YEN,YIN,IN,,
涂,TU,TU,TO,TOU,,
钦,QIN,CHIN,,IAM,,
段干,DUANGAN,TUAN-KAN,,TUN KON,,
百里,BAILI,PAI-LI,,PAK LEI,,
东郭,DONGGUO,TUNG-KUO,,TONG KUOK,,
南门,NANMEN,NAN-MEN,NAMMUN,NAM MUN,,
呼延,HUYAN,HU-YEN,,FU IN,,
归,GUI,KUEI,KWAI,KUAI,,
海,HAI,HAI,HOI,HOI,,HOI
羊舌,YANGSHE,,,IEONG SIT,,
微生,WEISHENG,,,MEI SANG,,
岳,YUE,YUEH,NGOK,NGOK,,
帅,SHUAI,,,SOI,,
缑,GOU,KOU,,,,
亢,KANG,KANG,HONG,,,
况,KUANG,KWANG/KUANG,KWONG,FONG,,
后,HOU,HOU,HAU,HAO,,
有,YOU,YU,YAU,IAO,,
琴,QIN,CHIN,,KAM,KIM,
梁丘,LIANGQIU,LIANG-CHIU,,LEONG IAO,,
左丘,ZUOQIU,,,CHO IAO,,
东门,DONGMEN,TUNG-MEN,TUNGMUN,TONG MUN,,
西门,XIMEN,HSI-MEN,SAIMUN,SAI MUN,,
商,SHANG,SHANG,SHEUNG,SEONG,SIANG,
牟,MOU,MOU,,MAO,,
佘,SHE,,SHEH,SE,SIA/SIAH/SEAH,
佴,ER,,,,,
伯,BO,PO,BAK,PAK,PEK/PEH,
赏,SHANG,SHANG,SHEUNG,SEONG,,
南宫,NANGONG,NAN-KUNG,NAMKUNG,NAM KONG,,
墨,MO,MO,MAK,MAK,BAK,
哈,HA,HA,HA,HA,,
谯,QIAO,CHIAO,,,,
笪,DA,TA,,,,
年,NIAN,NIEN,NIN,NIN,NEE,
爱,AI,AI,OI,OI,,
阳,YANG,YANG,YEUNG,IEONG,,YEUNG
佟,TONG,TUNG,TUNG,TONG,TONG/THONG,
第五,DIWU,TI-WU,TAING,TAI NG,,
言,YAN,YEN,YIN,IN,,
福,FU,FU,FUK,FOK,HOK,
麦,MAI,MAI,MAK,MAK,BEH,MAK
源,YUAN,YUAN,YUEN,UN,,
难,NAN,NAN,NAN,NAN,,
星,XING,XING/HSING/HSING/SYING/SING,SING,SENG,,
